"lat","long","change"
2.1,33.95,-0.824987878
2.083333,33.9,-0.824987878
2.066667,33.95,-0.824987878
1.35,32.05,-0.823982178
1.333333,32.05,-0.823982178
1.908176,32.294767,-0.820371453
1.901069,32.304859,-0.820371453
1.938336,32.445095,-0.816586634
1.96198,32.441389,-0.816586634
1.961434,32.480826,-0.816586634
1.5333554,32.2166578,-0.813759157
1.539535,32.22385,-0.813759157
1.531044,32.219078,-0.813759157
1.520869,32.228456,-0.813759157
3.399401,31.599569,-0.811906848
3.411894,31.595477,-0.811906848
3.393849,31.634578,-0.811906848
3.409167,31.649722,-0.811906848
1.283333,32.2,-0.811438297
1.316667,32.25,-0.811438297
1.766667,32.9,-0.810015568
1.766667,32.866667,-0.810015568
2.366667,33.683333,-0.809568387
1.896586,31.440773,-0.808592317
1.466667,33.283333,-0.808389425
1.5,33.233333,-0.808389425
1.466667,33.25,-0.808389425
3.4526001,33.551715,-0.807832424
3.4384,33.53815,-0.807832424
-0.445229,31.7698355,-0.804487159
-0.483333,31.766667,-0.804487159
-0.4491904,31.7333171,-0.804487159
-0.466667,31.716667,-0.804487159
-0.466667,31.766667,-0.804487159
2.5583437,31.7027016,-0.804286606
2.558782,31.701282,-0.804286606
1.783333,32.95,-0.803919201
1.503913,32.164161,-0.803838695
1.506214,32.19346,-0.803838695
1.466667,32.183333,-0.803838695
1.512198,32.148584,-0.803838695
1.216667,32.216667,-0.803071957
1.316667,32.583333,-0.800029823
1.283333,32.583333,-0.800029823
1.3,32.583333,-0.800029823
-0.1357753,30.0553066,-0.796573065
-0.1229175,30.0469431,-0.796573065
-0.075626,30.1780449,-0.794652787
-0.0753318,30.1763507,-0.794652787
-0.0762095,30.1771766,-0.794652787
-0.0744078,30.178829,-0.794652787
-0.0755148,30.179163,-0.794652787
1.566667,33.25,-0.79270569
1.516667,33.266667,-0.79270569
1.3,32.416667,-0.790008848
1.283333,32.433333,-0.790008848
1.316667,32.4,-0.790008848
1.3272445,32.421511,-0.790008848
3.445833,32.848611,-0.789224425
-0.6771172,31.6123469,-0.788254887
-0.716667,31.65,-0.788254887
-0.6969454,31.5922513,-0.788254887
2.233333,33.683333,-0.787093207
2.183333,33.683333,-0.787093207
2.216667,33.683333,-0.787093207
1.054875,30.4802,-0.782950937
1.586824,31.914991,-0.773888279
1.597684,31.931751,-0.773888279
1.588901,31.902162,-0.773888279
1.3,30.783333,-0.77101921
1.316667,30.8,-0.77101921
2.960978,31.260474,-0.769633779
2.965556,31.26018,-0.769633779
2.94914,31.27643,-0.769633779
1.603379,32.21198,-0.767843257
1.599025,32.223146,-0.767843257
2.1,33.833333,-0.766649021
