"DHSID","year","lat","long","base","base_w_elec","no_elec_no_app","elec_no_app","n"
"TZ201500000309",2015,-8.317869,32.374572,-0.671320366593354,-0.880864153706912,-0.305892884844068,-0.562600352789199,21
"TZ201500000310",2015,-8.37629,32.048961,-1.82114458637043,-1.93493362765322,-1.73989255750447,-1.86072109125317,21
"TZ201500000311",2015,-8.564428,32.056434,0.779178233132239,0.454471098550734,1.18447089702606,0.788211869244243,21
"TZ201500000312",2015,-7.331398,31.0602,-0.176322124423378,-0.423347684861212,0.247259152155201,-0.0593058886857624,18
"TZ201500000313",2015,-7.633326,31.020757,0.218760555297568,-0.054615848683318,0.411780648626545,0.0843823441989222,21
"TZ201500000314",2015,-8.16845,30.950238,-0.728886555249778,-0.936439287325681,-0.515206556027133,-0.760138893213442,19
"TZ201500000315",2015,-7.474073,30.607437,-0.799121557760256,-1.00051913273568,-0.496570641823209,-0.733538236212266,20
"TZ201500000316",2015,-7.517651,31.024607,-0.963853534754093,-1.14732856918071,-0.685607566575872,-0.900994617172445,22
"TZ201500000317",2015,-7.953851,31.603034,0.265946436832144,0.062106824648792,0.793269346042943,0.5254284433448,21
"TZ201500000318",2015,-7.963247,31.620489,1.88502463957728,2.17259470228661,1.97207397296086,2.26011160464091,21
"TZ201500000319",2015,-7.977008,31.643558,0.576436793445061,0.514483485802847,0.941946583080587,0.837799837720988,21
"TZ201500000320",2015,-8.020034,31.685501,-0.205789375093015,-0.450225967573639,0.22500779702499,-0.0790171064191585,22
"TZ201500000321",2015,-7.97246,31.449262,-0.23702205206546,-0.435222287461001,0.0496567019754677,-0.187613709767882,22
"TZ201500000322",2015,-7.971038,31.619437,1.08145967390734,1.23637302637637,1.41846928227421,1.55018433976118,19
"TZ201500000323",2015,-3.594983,30.72088,1.66422137723421,1.69680347939712,1.61946765561927,1.64352781407026,20
"TZ201500000324",2015,-3.713443,30.564743,-1.06838465456157,-1.25057443611131,-0.769839396571385,-0.996845507387711,22
"TZ201500000325",2015,-3.813695,30.487883,-1.32433789121274,-1.48060673941412,-1.11172622639417,-1.29560288474867,20
"TZ201500000326",2015,-3.632287,30.624211,-1.16638539515992,-1.34038133298637,-0.9103964396981,-1.12108269101787,18
"TZ201500000327",2015,-4.309203,30.187233,-0.725893535073303,-0.936158724399647,-0.408331640798153,-0.669818623870243,22
"TZ201500000328",2015,-4.81963,30.336719,-1.71386934069673,-1.82748218607682,-1.64436729489507,-1.75336551871159,18
"TZ201500000329",2015,-4.493844,29.752603,-0.329880857132322,-0.57511353061933,-0.0657138290176648,-0.36056867087499,20
"TZ201500000330",2015,-4.796144,29.71796,-0.166257286210223,-0.380623627178941,0.284939617298657,0.019741485876344,22
"TZ201500000331",2015,-4.884782,29.661311,1.50240618452508,1.53563893600187,1.41752455554167,1.44403637115816,21
"TZ201500000332",2015,-4.906193,29.673511,1.19157629108117,1.42554384639275,0.913542081024135,1.17557992634483,22
"TZ201500000333",2015,-4.892419,29.651109,3.64637195266285,3.96156433799701,2.37689602866983,2.80250125707332,20
"TZ201500000334",2015,-6.015062,29.825212,-0.697358186809605,-0.906244986575467,-0.359364425429864,-0.609583676411811,21
"TZ201500000335",2015,-5.089876,29.871753,-1.31749743873099,-1.47769922259117,-1.10610548762725,-1.29500798244154,20
"TZ201500000336",2015,-5.026522,30.074706,-0.615394186733475,-0.827558720254878,-0.305469701272747,-0.559570229291459,20
"TZ201500000337",2015,-5.181297,30.994416,-1.24874484368858,-1.40977627187638,-1.04258752830433,-1.22557797595084,17
"TZ201500000338",2015,-4.46377,29.944746,-0.0835702356582748,-0.301131806527373,0.257821225885025,-0.0119576604818797,22
"TZ201500000339",2015,-4.385316,29.826545,-0.190682017358486,-0.445693986856492,0.297852562200112,-0.0252961166525843,21
"TZ201500000340",2015,-3.195455,30.868747,-0.407356631971978,-0.64072919866917,-0.072068184213724,-0.362938668019075,21
"TZ201500000341",2015,-3.481601,30.681312,-1.11562520398393,-1.29161914276995,-0.851238449434885,-1.06323124225221,22
"TZ201500000342",2015,-4.672216,30.137686,-0.436568334855639,-0.667151666772289,-0.00967079503327577,-0.296735090732296,22
"TZ201500000343",2015,-4.555658,30.119947,0.932691918763216,0.875543168881275,1.10787765845869,1.02250437756687,21
"TZ201500000344",2015,-3.678012,33.416342,2.17760046066864,2.29307312199252,2.13921601189095,2.25669636256201,22
"TZ201500000345",2015,-3.664316,33.442678,1.44737217997268,1.42001283002656,1.52874483373521,1.4843637013366,20
"TZ201500000346",2015,-3.438095,33.431715,-1.33176249713837,-1.44801220856726,-1.13044041404689,-1.26783703396634,21
